Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1986,9,472648.8779,80.88160243,80.88160243,FL,FLORIDA
1986,10,6486715.335,1157.839341,1157.839341,GA,GEORGIA
1986,12,0,0,0,ID,IDAHO
1986,13,238555718.6,46917.05687,46917.05687,IL,ILLINOIS
1986,14,124195022.5,26623.8644,26623.8644,IN,INDIANA
1986,15,251874863.9,51224.33861,50600.44953,IA,IOWA
1986,16,24054137.5,13216.13156,12277.14648,KS,KANSAS
1986,17,39844889.19,7270.033881,7270.033881,KY,KENTUCKY
1986,18,6746185.264,4120.163549,4073.912954,LA,LOUISIANA
1986,19,408160.6933,87.06541356,87.06541356,ME,MAINE
1986,20,20065787.95,2070.621427,2070.621427,MD,MARYLAND
1986,21,983929.7017,123.5812967,123.5812967,MA,MASSACHUSETTS
1986,22,59476010.98,9110.645801,9110.645801,MI,MICHIGAN
1986,23,124830594.9,33675.27477,33244.61956,MN,MINNESOTA
1986,24,8390832.808,4238.340849,4086.483255,MS,MISSISSIPPI
1986,25,83759681.76,24583.39378,24477.86244,MO,MISSOURI
1986,26,0,0,0,MT,MONTANA
1986,27,10726578.13,13237.46435,10210.69835,NE,NEBRASKA
1986,28,0,0,0,NV,NEVADA
1986,29,423427.2822,59.02346399,59.02346399,NH,NEW HAMPSHIRE
1986,30,5170213.613,568.2510396,568.2510396,NJ,NEW JERSEY
1986,31,13317.05452,57.05789389,42.31878072,NM,NEW MEXICO
1986,32,15870669.78,2018.035783,2018.035783,NY,NEW YORK
1986,33,47198798.43,5135.859727,5135.859727,NC,NORTH CAROLINA
1986,34,26096183.11,10337.69546,10028.00755,ND,NORTH DAKOTA
1986,35,131204763.7,21542.97629,21542.97629,OH,OHIO
1986,36,1983858.881,1963.973253,1399.250414,OK,OKLAHOMA
1986,37,0,0,0,OR,OREGON
1986,38,25623899.67,3084.504111,3084.504111,PA,PENNSYLVANIA
1986,39,0,0,0,RI,RHODE ISLAND
1986,40,17856563.99,2490.028814,2490.028814,SC,SOUTH CAROLINA
1986,41,68058013.39,26708.98625,26314.58292,SD,SOUTH DAKOTA
1986,42,13677213.74,5577.415181,5171.001646,TN,TENNESSEE
1986,43,633873.2538,1879.436412,820.1035595,TX,TEXAS
1986,44,0,0,0,UT,UTAH
1986,45,2100139.042,256.9711272,256.9711272,VT,VERMONT
1986,46,23491361.24,2601.651819,2601.651819,VA,VIRGINIA
1986,47,0,0,0,WA,WASHINGTON
1986,48,5320734.801,580.3285354,580.3285354,WV,WEST VIRGINIA
1986,49,39102975.74,7024.775496,7024.775496,WI,WISCONSIN
1986,50,0,0,0,WY,WYOMING
1987,0,11505838.86,1414.532025,1414.532025,AL,ALABAMA
1987,2,0,0,0,AZ,ARIZONA
1987,3,4010415.523,2568.155173,2418.74591,AR,ARKANSAS
1987,4,0,0,0,CA,CALIFORNIA
1987,5,209493.1184,303.9727061,263.7638213,CO,COLORADO
1987,6,153475.8561,21.22605036,21.22605036,CT,CONNECTICUT
1987,7,2340866.626,708.033395,708.033395,DE,DELAWARE
1987,8,2215.337105,0.643806117,0.643806117,DC,DISTRICT OF COLUMBIA
1987,9,474747.0887,79.66230401,79.66230401,FL,FLORIDA
1987,10,4915991.284,1152.848243,1152.848243,GA,GEORGIA
1987,12,0,0,0,ID,IDAHO
1987,13,135722043.4,46876.0003,46130.22157,IL,ILLINOIS
1987,14,135310155.6,26476.19407,26476.19407,IN,INDIANA
1987,15,180017953.4,51030.25296,50194.56079,IA,IOWA
1987,16,17385643.79,13139.9486,12355.75782,KS,KANSAS
1987,17,21197640.32,7231.030279,7004.077291,KY,KENTUCKY
1987,18,18720610.6,4049.687852,4049.135211,LA,LOUISIANA
1987,19,466548.3822,86.03878525,86.03878525,ME,MAINE
1987,20,6566131.378,2053.969174,2019.840289,MD,MARYLAND
1987,21,810767.8187,121.1591838,121.1591838,MA,MASSACHUSETTS
1987,22,62685988.16,9039.2813,9039.2813,MI,MICHIGAN
1987,23,15141358.07,33368.38965,18122.87556,MN,MINNESOTA
1987,24,24575264,4197.776934,4197.776934,MS,MISSISSIPPI
1987,25,29463890.69,24369.71245,22844.12613,MO,MISSOURI
1987,26,0,0,0,MT,MONTANA
1987,27,35707884.74,13097.78911,12682.48296,NE,NEBRASKA
1987,28,0,0,0,NV,NEVADA
1987,29,359108.4297,57.63137684,57.63137684,NH,NEW HAMPSHIRE
1987,30,4377415.532,556.3495046,556.0628526,NJ,NEW JERSEY
1987,31,48328.61111,59.50224197,53.97866451,NM,NEW MEXICO
1987,32,17639764.57,1961.431591,1961.431591,NY,NEW YORK
1987,33,36047462.14,5100.937591,5100.937591,NC,NORTH CAROLINA
